Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1968","1968","%","10.54","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1968","1968","ha/cap","0.3877","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1969","1969","1000 ha","1383177.74","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1969","1969","%","30.5","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1969","1969","%","10.61","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1969","1969","ha/cap","0.382","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1970","1970","1000 ha","1382021.9466","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1970","1970","%","30.54","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1970","1970","%","10.6","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1970","1970","ha/cap","0.374","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1971","1971","1000 ha","1379091.774","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1971","1971","%","30.37","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1971","1971","%","10.58","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1971","1971","ha/cap","0.3658","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1972","1972","1000 ha","1384774.524","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1972","1972","%","30.39","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1972","1972","%","10.62","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1972","1972","ha/cap","0.3602","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1973","1973","1000 ha","1387099.4567","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1973","1973","%","30.36","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1973","1973","%","10.64","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1973","1973","ha/cap","0.3538","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1974","1974","1000 ha","1389827.1095","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1974","1974","%","30.32","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1974","1974","%","10.66","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1974","1974","ha/cap","0.3478","E","Estimated value",""
